path,change_type,responsibility,lines_before,lines_after,scientific_behavior_changed,config_changed,schema_changed,public_api_changed,notes
exp2_real_delayed_conversion_logs/docs/EXP2_REFACTOR_STATUS.md,modified,Append Exp2 V3 final validation and current gate evidence,202,344,NO,NO,NO,NO,Historical status sections preserved
exp2_real_delayed_conversion_logs/docs/EXP2_FINAL_MECHANICAL_REFACTOR_REPORT.md,modified,Document final semantic fixes boundaries equivalence and real cohort gate,235,477,NO,NO,NO,NO,Formal Full remains unstarted
exp2_real_delayed_conversion_logs/docs/EXP2_FINAL_FILE_CHANGE_SUMMARY.csv,modified,List files changed by the Exp2 V3 final fix,62,24,NO,NO,NO,NO,Required change fields added
exp2_real_delayed_conversion_logs/docs/tools/compare_fast_artifacts.py,modified,Strictly compare scientific outputs while recognizing only approved semantic deltas,197,321,NO,NO,NO,NO,Uses rtol 0 and atol 1e-12
exp2_real_delayed_conversion_logs/exp2_core/cohort.py,modified,Delegate cohort outcomes flow and reconciliation to one stage specification,314,258,NO,NO,NO,NO,Retained cohort and scientific values unchanged
exp2_real_delayed_conversion_logs/exp2_core/cohort_stages.py,added,Own cohort stage order predicates exclusion reasons flow summary and reconciliation,0,216,NO,NO,NO,NO,Scheme B starts after upstream temporal filters
exp2_real_delayed_conversion_logs/exp2_core/pipeline/cohort_stage.py,modified,Write exclusion summary from the shared cohort stage specification,73,71,NO,NO,NO,NO,CSV columns unchanged
exp2_real_delayed_conversion_logs/exp2_core/pipeline/validation_stage.py,modified,Pass cohort flow into scientific validation,44,45,NO,NO,NO,NO,Adds reconciliation evidence
exp2_real_delayed_conversion_logs/exp2_core/reporting/ambiguity_figure.py,modified,Use package-relative data I/O import,61,61,NO,NO,NO,NO,Top-level facade remains compatible
exp2_real_delayed_conversion_logs/exp2_core/reporting/appendix_figures.py,modified,Use package-relative data I/O import,156,156,NO,NO,NO,NO,Top-level facade remains compatible
exp2_real_delayed_conversion_logs/exp2_core/reporting/main_figure.py,modified,Use package-relative data I/O import,141,141,NO,NO,NO,NO,Top-level facade remains compatible
exp2_real_delayed_conversion_logs/exp2_core/resampling/draws.py,modified,Use package-relative metrics import,135,135,NO,NO,NO,NO,Random stream unchanged
exp2_real_delayed_conversion_logs/exp2_core/resampling/uid_bootstrap.py,modified,Use package-relative metrics import,125,125,NO,NO,NO,NO,Resampling behavior unchanged
exp2_real_delayed_conversion_logs/exp2_core/robustness/candidate_window.py,modified,Use package-relative cohort metrics and route imports,146,146,NO,NO,NO,NO,Full 7 versus 30 computation unchanged
exp2_real_delayed_conversion_logs/exp2_core/robustness/common.py,modified,Use package-relative cohort and metrics imports,82,82,NO,NO,NO,NO,Targeted common cohort behavior unchanged
exp2_real_delayed_conversion_logs/exp2_core/robustness/decay_half_life.py,modified,Use package-relative cohort metrics and route imports,50,50,NO,NO,NO,NO,Half-life values unchanged
exp2_real_delayed_conversion_logs/exp2_core/robustness/orchestrator.py,modified,Report the configured 30-day Fast candidate-window alternative and use package imports,76,85,NO,NO,NO,NO,Primary 7-day reference remains frozen
exp2_real_delayed_conversion_logs/exp2_core/robustness/ranking_depth.py,modified,Use package-relative cohort and metrics imports,25,25,NO,NO,NO,NO,Top-k behavior unchanged
exp2_real_delayed_conversion_logs/exp2_core/robustness/support_threshold.py,modified,Use package-relative cohort metrics and route imports,107,107,NO,NO,NO,NO,Threshold behavior unchanged
exp2_real_delayed_conversion_logs/exp2_core/validation/implementation.py,modified,Add optional cohort-flow reconciliation to validation,93,99,NO,NO,NO,NO,Existing public call remains compatible
exp2_real_delayed_conversion_logs/tests/test_cohort.py,modified,Test stage order first-failure reasons reconciliation retained mask and Scheme B,12,73,NO,NO,NO,NO,Adds failure-path coverage
exp2_real_delayed_conversion_logs/tests/test_structure_contract.py,modified,Reject exp2_core imports through top-level compatibility facades,72,105,NO,NO,NO,NO,All package modules remain independently importable
exp2_real_delayed_conversion_logs/tests/test_robustness_status.py,added,Verify Fast uses 7 as primary and 30 as the unrun alternative,0,26,NO,NO,NO,NO,Prevents candidate-window status regression
