check_name,status,details
standalone entry point,PASSED,static code check
canonical reproduce-all entry point,PASSED,static code check
no external common package dependency,PASSED,static code check
all required scripts present,PASSED,static code check
redundant reproduction wrappers and package stub are removed,PASSED,static code check
"no obsolete method, figure, or pseudo-p-value identifiers remain",PASSED,static code check
"method registry separates deployable, reference, and diagnostic roles",PASSED,static code check
observable history metadata matches arrival-feedback implementation,PASSED,static code check
fast/full worker caps are 16/32,PASSED,static code check
full paired inference reports confidence intervals only,PASSED,static code check
q by sigma phase map and source-reference normalization are implemented,PASSED,static code check
warmup parameter is used in the primary metric,PASSED,static code check
q=1 action-trace audit covers source sweep and every phase-grid sigma,PASSED,static code check
phase summary is canonical and duplicate source-labelled summary is not emitted,PASSED,static code check
